148,109,,14
OKB (OKB),https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,https://www.okex.com/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a>
Orca (ORCA),https://assets.coingecko.com/coins/images/17547/small/Orca_Logo.png,https://www.orca.so/,<a href="https://solana.com/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png"></a>
Oxygen (OXY),https://s2.coinmarketcap.com/static/img/coins/64x64/8029.png,https://www.oxygen.org/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a> <a href="https://solana.com/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png"></a>
Parrot Finance (PAI),https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS/logo.svg,https://partyparrot.finance/,<a href="https://solana.com/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png"></a>
PAX Gold (PAXG),https://etherscan.io/token/images/paxosgold_32.png,https://paxos.com/paxgold/,<a href="https://www.binance.org/en/smartChain" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/exchanges/64x64/486.png"></a> <a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a>
Perpetual Protocol (PERP),https://s2.coinmarketcap.com/static/img/coins/64x64/6950.png,https://www.perp.fi/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a>
Quant (QNT),https://i.imgur.com/SiwbX6G.png,https://quant.network/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a>
RAMP (RAMP),https://assets.coingecko.com/coins/images/12837/small/RAMP-Logo-v2-1000pxsq.png,https://www.rampdefi.com/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a> <a href="https://www.binance.org/en/smartChain" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/exchanges/64x64/486.png"></a>
Raydium (RAY),https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R/logo.png,https://raydium.io/#/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a> <a href="https://solana.com/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png"></a>
Ren (REN),https://s2.coinmarketcap.com/static/img/coins/64x64/2539.png,https://renproject.io/,<a href="https://www.ethereum.org/" target="_blank"><img src="https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"></a>
